date,cash_rate,scrape_date
2026-06-01,4.349999999999994,2026-06-01
2026-07-01,4.349999999999994,2026-06-01
2026-08-01,4.424999999999997,2026-06-01
2026-09-01,4.459999999999994,2026-06-01
2026-10-01,4.5,2026-06-01
2026-11-01,4.534999999999997,2026-06-01
2026-12-01,4.554999999999993,2026-06-01
2027-01-01,4.554999999999993,2026-06-01
2027-02-01,4.554999999999993,2026-06-01
2027-03-01,4.549999999999997,2026-06-01
2027-04-01,4.545000000000002,2026-06-01
2027-05-01,4.5249999999999915,2026-06-01
2027-06-01,4.510000000000005,2026-06-01
2027-07-01,4.480000000000004,2026-06-01
2027-08-01,4.459999999999994,2026-06-01
2027-09-01,4.439999999999998,2026-06-01
2027-10-01,4.420000000000002,2026-06-01
2027-11-01,4.390000000000001,2026-06-01
