dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-02-25,2026-01-29,2026-01-29,96.25,96.245,-0.015000000000000568,-0.015581987222771067,0,0,96.25,97.065,96.22500000000001,96.25,96.25,3605,3605,928464846,IBG2026,2026-02-01,2026-01-29,2026-01-29T20:29:45Z,3.75,3.75
2026-03-29,2026-01-29,2026-01-29,96.22,96.205,-0.03499999999999659,-0.03636552548183967,0,0,96.21000000000001,97.105,96.2,96.21000000000001,96.215,246,246,935346173,IBH2026,2026-03-01,2026-01-29,2026-01-29T20:29:45Z,3.789999999999992,3.7849999999999966
2026-04-28,2026-01-29,2026-01-29,96.19500000000001,96.175,-0.044999999999987494,-0.046765393608716545,-0.015,-0.016,96.18,96.925,96.18,96.18,96.19,3,3,941648808,IBJ2026,2026-04-01,2026-01-29,2026-01-29T20:29:45Z,3.819999999999993,3.8100000000000023
2026-05-27,2026-01-27,2026-01-29,NA,NA,-0.009999999999990905,-0.010405827263257967,-0.015,-0.016,96.09,97.015,96.08,96.09,96.07000000000001,0,0,949242588,IBK2026,2026-05-01,2026-01-29,2026-01-29T20:29:45Z,3.9299999999999926,3.9299999999999926
2026-06-28,2025-12-19,2026-01-29,NA,NA,0.10500000000000398,0.10928961748634293,-0.02,-0.021,96.18,96.97500000000001,96.18,96.18,96.025,0,0,955528239,IBM2026,2026-06-01,2026-01-29,2026-01-29T20:29:45Z,3.9749999999999943,3.9749999999999943
2026-07-29,2025-12-09,2026-01-29,NA,NA,0.010000000000005116,0.01040961848748776,-0.04,-0.042,96.075,96.075,96.075,96.075,96,0,0,962344067,IBN2026,2026-07-01,2026-01-29,2026-01-29T20:29:45Z,4,4
2026-08-29,2025-12-09,2026-01-29,NA,NA,0.04999999999999716,0.05207519658386414,-0.105,-0.109,96.065,96.15,96.065,96.065,95.94,0,0,969160575,IBQ2026,2026-08-01,2026-01-29,2026-01-29T20:29:45Z,4.060000000000002,4.060000000000002
2026-09-28,2026-01-12,2026-01-29,NA,NA,0.14000000000000057,0.14585612335260778,0.02,0.021,96.125,96.86500000000001,96.11500000000001,96.125,95.9,0,0,976225343,IBU2026,2026-09-01,2026-01-29,2026-01-29T20:29:45Z,4.099999999999994,4.099999999999994
2026-10-28,2025-12-16,2026-01-29,NA,NA,0.11499999999999488,0.11983535664043649,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,95.875,0,0,983956682,IBV2026,2026-10-01,2026-01-29,2026-01-29T20:29:45Z,4.125,4.125
2026-11-28,2025-12-09,2026-01-29,NA,NA,0.09499999999999886,0.09903054310434573,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,95.845,0,0,990482019,IBX2026,2026-11-01,2026-01-29,2026-01-29T20:29:45Z,4.155000000000001,4.155000000000001
2026-12-29,2026-01-28,2026-01-29,NA,NA,-0.05499999999999261,-0.05734542800541405,0.025,0.026000000000000002,95.855,96.86500000000001,95.855,95.855,95.83500000000001,0,0,996839036,IBZ2026,2026-12-01,2026-01-29,2026-01-29T20:29:45Z,4.164999999999992,4.164999999999992
2027-01-27,NA,2026-01-29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.83,0,0,1004041830,IBF2027,2027-01-01,2026-01-29,2026-01-29T20:29:45Z,NA,4.170000000000002
2027-02-24,NA,2026-01-29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.825,0,0,1010033436,IBG2027,2027-02-01,2026-01-29,2026-01-29T20:29:45Z,NA,4.174999999999997
2027-03-29,NA,2026-01-29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.82000000000001,0,0,1016946091,IBH2027,2027-03-01,2026-01-29,2026-01-29T20:29:45Z,NA,4.179999999999993
2027-04-28,NA,2026-01-29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.815,0,0,1026315950,IBJ2027,2027-04-01,2026-01-29,2026-01-29T20:29:45Z,NA,4.185000000000002
2027-05-29,NA,2026-01-29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.815,0,0,1033478754,IBK2027,2027-05-01,2026-01-29,2026-01-29T20:29:45Z,NA,4.185000000000002
2027-06-28,NA,2026-01-29,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,95.815,0,0,1041047069,IBM2027,2027-06-01,2026-01-29,2026-01-29T20:29:45Z,NA,4.185000000000002
