date,cash_rate,scrape_date
2024-01-01,4.314999999999998,2024-01-11
2024-02-01,4.325000000000003,2024-01-11
2024-03-01,4.314999999999998,2024-01-11
2024-04-01,4.304999999999993,2024-01-11
2024-05-01,4.2450000000000045,2024-01-11
2024-06-01,4.209999999999994,2024-01-11
2024-07-01,4.159999999999997,2024-01-11
2024-08-01,4.094999999999999,2024-01-11
2024-09-01,4.069999999999993,2024-01-11
2024-10-01,4.009999999999991,2024-01-11
2024-11-01,3.9399999999999977,2024-01-11
2024-12-01,3.8799999999999955,2024-01-11
2025-01-01,3.8599999999999994,2024-01-11
2025-02-01,3.8100000000000023,2024-01-11
2025-03-01,3.7749999999999915,2024-01-11
2025-04-01,3.739999999999995,2024-01-11
2025-05-01,3.700000000000003,2024-01-11
2025-06-01,3.6700000000000017,2024-01-11
