date,cash_rate,scrape_date
2024-02-01,4.314999999999998,2024-02-28
2024-03-01,4.310000000000002,2024-02-28
2024-04-01,4.299999999999997,2024-02-28
2024-05-01,4.269999999999996,2024-02-28
2024-06-01,4.25,2024-02-28
2024-07-01,4.219999999999999,2024-02-28
2024-08-01,4.159999999999997,2024-02-28
2024-09-01,4.1299999999999955,2024-02-28
2024-10-01,4.079999999999998,2024-02-28
2024-11-01,4.0049999999999955,2024-02-28
2024-12-01,3.9549999999999983,2024-02-28
2025-01-01,3.9350000000000023,2024-02-28
2025-02-01,3.884999999999991,2024-02-28
2025-03-01,3.855000000000004,2024-02-28
2025-04-01,3.825000000000003,2024-02-28
2025-05-01,3.789999999999992,2024-02-28
2025-06-01,3.7650000000000006,2024-02-28
2025-07-01,3.7450000000000045,2024-02-28
