date,cash_rate,scrape_date
2022-06-01,0.695,2022-06-24
2022-07-01,1.2,2022-06-24
2022-08-01,1.695,2022-06-24
2022-09-01,2.045,2022-06-24
2022-10-01,2.45,2022-06-24
2022-11-01,2.9,2022-06-24
2022-12-01,3.24,2022-06-24
2023-01-01,3.315,2022-06-24
2023-02-01,3.605,2022-06-24
2023-03-01,3.79,2022-06-24
2023-04-01,3.83,2022-06-24
2023-05-01,3.86,2022-06-24
2023-06-01,3.895,2022-06-24
2023-07-01,3.935,2022-06-24
2023-08-01,3.94,2022-06-24
2023-09-01,3.94,2022-06-24
2023-10-01,3.92,2022-06-24
2023-11-01,3.895,2022-06-24
