dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2025-12-29,2025-12-23,2025-12-23,96.405,96.4,0,0,0,0,96.405,97.19,96.405,96.405,96.405,317,410,895208763,IBZ2025,2025-12-01,2025-12-23,2025-12-23T23:01:16Z,3.594999999999999,3.594999999999999
2026-01-28,2025-12-23,2025-12-23,96.405,96.4,0.005000000000009663,0.0051869910265155495,-0.005,-0.005,96.4,97.105,96.4,96.4,96.405,317,410,919010878,IBF2026,2026-01-01,2025-12-23,2025-12-23T23:01:16Z,3.5999999999999943,3.594999999999999
2026-02-25,2025-12-23,2025-12-23,96.33,96.32000000000001,0.010000000000005116,0.010382598764476059,0,0,96.325,97.065,96.315,96.325,96.33,456,456,928464846,IBG2026,2026-02-01,2025-12-23,2025-12-23T23:01:16Z,3.674999999999997,3.6700000000000017
2026-03-29,2025-12-23,2025-12-23,96.315,96.295,0.025000000000005684,0.025961887948497516,0.02,0.021,96.32000000000001,97.105,96.32000000000001,96.32000000000001,96.31,2,2,935346173,IBH2026,2026-03-01,2025-12-23,2025-12-23T23:01:16Z,3.6799999999999926,3.6899999999999977
2026-04-28,2025-12-18,2025-12-23,96.305,96.28,0.0049999999999954525,0.005192647211543724,-0.01,-0.01,96.295,96.925,96.255,96.295,96.295,0,0,941648808,IBJ2026,2026-04-01,2025-12-23,2025-12-23T23:01:16Z,3.7049999999999983,3.7049999999999983
2026-05-27,2025-12-23,2025-12-23,96.22500000000001,96.2,0,0,0.015,0.016,96.215,97.015,96.215,96.215,96.22,25,25,949242588,IBK2026,2026-05-01,2025-12-23,2025-12-23T23:01:16Z,3.7849999999999966,3.780000000000001
2026-06-28,2025-12-19,2025-12-23,96.2,96.17,0,0,-0.02,-0.021,96.18,96.97500000000001,96.18,96.18,96.19,0,0,955528239,IBM2026,2026-06-01,2025-12-23,2025-12-23T23:01:16Z,3.8100000000000023,3.8100000000000023
2026-07-29,2025-12-09,2025-12-23,96.19,96.16,-0.09000000000000341,-0.09358914365933906,-0.04,-0.042,96.075,96.075,96.075,96.075,96.18,0,0,962344067,IBN2026,2026-07-01,2025-12-23,2025-12-23T23:01:16Z,3.819999999999993,3.819999999999993
2026-08-29,2025-12-09,2025-12-23,96.13,96.10000000000001,-0.03499999999999659,-0.03642039542143246,-0.105,-0.109,96.065,96.15,96.065,96.065,96.12,0,0,969160575,IBQ2026,2026-08-01,2025-12-23,2025-12-23T23:01:16Z,3.8799999999999955,3.8799999999999955
2026-09-28,2025-12-16,2025-12-23,96.10000000000001,96.07000000000001,0.0350000000000108,0.03643176850214511,-0.025,-0.026000000000000002,96.105,96.86500000000001,96.105,96.105,96.09,0,0,976225343,IBU2026,2026-09-01,2025-12-23,2025-12-23T23:01:16Z,3.9099999999999966,3.9099999999999966
2026-10-28,2025-12-16,2025-12-23,96.08500000000001,96.055,0.03499999999999659,0.0364412514966907,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,96.07000000000001,0,0,983956682,IBV2026,2026-10-01,2025-12-23,2025-12-23T23:01:16Z,3.9299999999999926,3.9299999999999926
2026-11-28,2025-12-09,2025-12-23,96.05,96.02,0.005000000000009663,0.0052072484899080024,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,96.035,0,0,990482019,IBX2026,2026-11-01,2025-12-23,2025-12-23T23:01:16Z,3.9650000000000034,3.9650000000000034
2026-12-29,2025-11-04,2025-12-23,96.03,96,0.5600000000000023,0.5833333333333357,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.02,0,0,996839036,IBZ2026,2026-12-01,2025-12-23,2025-12-23T23:01:16Z,3.980000000000004,3.980000000000004
2027-01-27,NA,2025-12-23,96.025,95.995,NA,0,NA,NA,NA,NA,NA,NA,96.015,0,0,1004041830,IBF2027,2027-01-01,2025-12-23,2025-12-23T23:01:16Z,NA,3.9849999999999994
2027-02-24,NA,2025-12-23,96.015,95.985,NA,0,NA,NA,NA,NA,NA,NA,96.005,0,0,1010033436,IBG2027,2027-02-01,2025-12-23,2025-12-23T23:01:16Z,NA,3.9950000000000045
2027-03-29,NA,2025-12-23,96.01,95.98,NA,0,NA,NA,NA,NA,NA,NA,96,0,0,1016946091,IBH2027,2027-03-01,2025-12-23,2025-12-23T23:01:16Z,NA,4
2027-04-28,NA,2025-12-23,96.005,95.97500000000001,NA,0,NA,NA,NA,NA,NA,NA,95.995,0,0,1026315950,IBJ2027,2027-04-01,2025-12-23,2025-12-23T23:01:16Z,NA,4.0049999999999955
2027-05-29,NA,2025-12-23,95.995,95.965,NA,0,NA,NA,NA,NA,NA,NA,95.985,0,0,1033478754,IBK2027,2027-05-01,2025-12-23,2025-12-23T23:01:16Z,NA,4.015000000000001
