date,cash_rate,scrape_date
2026-04-01,4.094999999999999,2026-04-27
2026-05-01,4.259999999999991,2026-04-27
2026-06-01,4.329999999999998,2026-04-27
2026-07-01,4.364999999999995,2026-04-27
2026-08-01,4.465000000000003,2026-04-27
2026-09-01,4.5249999999999915,2026-04-27
2026-10-01,4.6200000000000045,2026-04-27
2026-11-01,4.700000000000003,2026-04-27
2026-12-01,4.715000000000003,2026-04-27
2027-01-01,4.715000000000003,2026-04-27
2027-02-01,4.715000000000003,2026-04-27
2027-03-01,4.709999999999994,2026-04-27
2027-04-01,4.700000000000003,2026-04-27
2027-05-01,4.685000000000002,2026-04-27
2027-06-01,4.674999999999997,2026-04-27
2027-07-01,4.655000000000001,2026-04-27
2027-08-01,4.635000000000005,2026-04-27
2027-09-01,4.6200000000000045,2026-04-27
