date,cash_rate,scrape_date
2026-07-01,4.344999999999999,2026-07-02
2026-08-01,4.384999999999991,2026-07-02
2026-09-01,4.3999999999999915,2026-07-02
2026-10-01,4.420000000000002,2026-07-02
2026-11-01,4.474999999999994,2026-07-02
2026-12-01,4.489999999999995,2026-07-02
2027-01-01,4.484999999999999,2026-07-02
2027-02-01,4.469999999999999,2026-07-02
2027-03-01,4.465000000000003,2026-07-02
2027-04-01,4.454999999999998,2026-07-02
2027-05-01,4.424999999999997,2026-07-02
2027-06-01,4.414999999999992,2026-07-02
2027-07-01,4.394999999999996,2026-07-02
2027-08-01,4.375,2026-07-02
2027-09-01,4.349999999999994,2026-07-02
2027-10-01,4.325000000000003,2026-07-02
2027-11-01,4.299999999999997,2026-07-02
2027-12-01,4.284999999999997,2026-07-02
