date,cash_rate,scrape_date
2024-04-01,4.314999999999998,2024-04-15
2024-05-01,4.299999999999997,2024-04-15
2024-06-01,4.289999999999992,2024-04-15
2024-07-01,4.280000000000001,2024-04-15
2024-08-01,4.230000000000004,2024-04-15
2024-09-01,4.219999999999999,2024-04-15
2024-10-01,4.200000000000003,2024-04-15
2024-11-01,4.140000000000001,2024-04-15
2024-12-01,4.094999999999999,2024-04-15
2025-01-01,4.075000000000003,2024-04-15
2025-02-01,4.030000000000001,2024-04-15
2025-03-01,4.0049999999999955,2024-04-15
2025-04-01,3.980000000000004,2024-04-15
2025-05-01,3.944999999999993,2024-04-15
2025-06-01,3.914999999999992,2024-04-15
2025-07-01,3.8900000000000006,2024-04-15
2025-08-01,3.8599999999999994,2024-04-15
2025-09-01,3.8400000000000034,2024-04-15
