dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-11-26,2025-11-24,2025-11-25,96.405,96.4,0.0049999999999954525,0.005186721991696527,0,0,96.405,97.125,96.4,96.405,96.405,0,0,888966960,IBX2025,2025-11-01,2025-11-25,2025-11-25T18:56:14Z,3.594999999999999
2025-12-29,2025-11-25,2025-11-25,96.415,96.41,0,0,0,0,96.41,97.19,96.405,96.41,96.41,125,125,895208763,IBZ2025,2025-12-01,2025-11-25,2025-11-25T18:56:14Z,3.5900000000000034
2026-01-28,2025-11-25,2025-11-25,96.415,96.41,-0.005000000000009663,-0.005185915054721426,-0.005,-0.005,96.41,97.105,96.41,96.41,96.415,4,4,919010878,IBF2026,2026-01-01,2025-11-25,2025-11-25T18:56:14Z,3.5900000000000034
2026-02-25,2025-11-25,2025-11-25,96.465,96.44500000000001,-0.014999999999986358,-0.015548069448029394,-0.005,-0.005,96.46000000000001,97.065,96.46000000000001,96.46000000000001,96.46000000000001,200,200,928464846,IBG2026,2026-02-01,2025-11-25,2025-11-25T18:56:14Z,3.539999999999992
2026-03-29,2025-11-20,2025-11-25,96.47500000000001,96.45,-0.044999999999987494,-0.0466297083052562,-0.035,-0.036000000000000004,96.46000000000001,97.105,96.435,96.46000000000001,96.465,0,0,935346173,IBH2026,2026-03-01,2025-11-25,2025-11-25T18:56:14Z,3.5349999999999966
2026-04-28,2025-11-19,2025-11-25,NA,NA,0.015000000000000568,0.015544041450777792,0.015,0.016,96.515,96.925,96.51,96.515,96.48,0,0,941648808,IBJ2026,2026-04-01,2025-11-25,2025-11-25T18:56:14Z,3.519999999999996
2026-05-27,2025-11-13,2025-11-25,NA,96.47500000000001,-0.044999999999987494,-0.04661521727869425,-0.06,-0.062,96.49000000000001,97.015,96.49000000000001,96.49000000000001,96.515,0,0,949242588,IBK2026,2026-05-01,2025-11-25,2025-11-25T18:56:14Z,3.4849999999999994
2026-06-28,2025-11-18,2025-11-25,NA,96.47500000000001,0,0,0.02,0.021,96.52,96.97500000000001,96.52,96.52,96.52,0,0,955528239,IBM2026,2026-06-01,2025-11-25,2025-11-25T18:56:14Z,3.480000000000004
2026-07-29,NA,2025-11-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.52,0,0,962344067,IBN2026,2026-07-01,2025-11-25,2025-11-25T18:56:14Z,NA
2026-08-29,NA,2025-11-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.515,0,0,969160575,IBQ2026,2026-08-01,2025-11-25,2025-11-25T18:56:14Z,NA
2026-09-28,2025-11-04,2025-11-25,NA,NA,0.06499999999999773,0.06734006734006498,-0.02,-0.021,96.59,96.86500000000001,96.59,96.59,96.51,0,0,976225343,IBU2026,2026-09-01,2025-11-25,2025-11-25T18:56:14Z,3.489999999999995
2026-10-28,2025-11-04,2025-11-25,NA,NA,0.06499999999999773,0.06734704450085244,-0.035,-0.036000000000000004,96.58,96.86500000000001,96.58,96.58,96.5,0,0,983956682,IBV2026,2026-10-01,2025-11-25,2025-11-25T18:56:14Z,3.5
2026-11-28,2025-11-04,2025-11-25,NA,NA,0.08499999999999375,0.08808746567178999,-0.03,-0.031,96.58,96.86500000000001,96.58,96.58,96.485,0,0,990482019,IBX2026,2026-11-01,2025-11-25,2025-11-25T18:56:14Z,3.5150000000000006
2026-12-29,2025-11-04,2025-11-25,NA,NA,0.07500000000000284,0.07773228999326615,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.48,0,0,996839036,IBZ2026,2026-12-01,2025-11-25,2025-11-25T18:56:14Z,3.519999999999996
2027-01-27,NA,2025-11-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.47500000000001,0,0,1004041830,IBF2027,2027-01-01,2025-11-25,2025-11-25T18:56:14Z,NA
2027-02-24,NA,2025-11-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.465,0,0,1010033436,IBG2027,2027-02-01,2025-11-25,2025-11-25T18:56:14Z,NA
2027-03-29,NA,2025-11-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.455,0,0,1016946091,IBH2027,2027-03-01,2025-11-25,2025-11-25T18:56:14Z,NA
2027-04-28,NA,2025-11-25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,96.44500000000001,0,0,1026315950,IBJ2027,2027-04-01,2025-11-25,2025-11-25T18:56:14Z,NA
