date,cash_rate,scrape_date
2026-08-01,4.344999999999999,2026-08-21
2026-09-01,4.349999999999994,2026-08-21
2026-10-01,4.375,2026-08-21
2026-11-01,4.454999999999998,2026-08-21
2026-12-01,4.4950000000000045,2026-08-21
2027-01-01,4.5,2026-08-21
2027-02-01,4.5249999999999915,2026-08-21
2027-03-01,4.534999999999997,2026-08-21
2027-04-01,4.534999999999997,2026-08-21
2027-05-01,4.5249999999999915,2026-08-21
2027-06-01,4.5249999999999915,2026-08-21
2027-07-01,4.5249999999999915,2026-08-21
2027-08-01,4.515000000000001,2026-08-21
2027-09-01,4.5049999999999955,2026-08-21
2027-10-01,4.4950000000000045,2026-08-21
2027-11-01,4.469999999999999,2026-08-21
2027-12-01,4.454999999999998,2026-08-21
2028-01-01,4.439999999999998,2026-08-21
