date,cash_rate,scrape_date
2026-05-01,4.304999999999993,2026-05-11
2026-06-01,4.3700000000000045,2026-05-11
2026-07-01,4.390000000000001,2026-05-11
2026-08-01,4.489999999999995,2026-05-11
2026-09-01,4.545000000000002,2026-05-11
2026-10-01,4.625,2026-05-11
2026-11-01,4.694999999999993,2026-05-11
2026-12-01,4.709999999999994,2026-05-11
2027-01-01,4.715000000000003,2026-05-11
2027-02-01,4.719999999999999,2026-05-11
2027-03-01,4.719999999999999,2026-05-11
2027-04-01,4.709999999999994,2026-05-11
2027-05-01,4.689999999999998,2026-05-11
2027-06-01,4.679999999999993,2026-05-11
2027-07-01,4.659999999999997,2026-05-11
2027-08-01,4.640000000000001,2026-05-11
2027-09-01,4.625,2026-05-11
2027-10-01,4.609999999999999,2026-05-11
