date,cash_rate,scrape_date
2026-06-01,4.349999999999994,2026-06-09
2026-07-01,4.349999999999994,2026-06-09
2026-08-01,4.420000000000002,2026-06-09
2026-09-01,4.454999999999998,2026-06-09
2026-10-01,4.489999999999995,2026-06-09
2026-11-01,4.549999999999997,2026-06-09
2026-12-01,4.564999999999998,2026-06-09
2027-01-01,4.560000000000002,2026-06-09
2027-02-01,4.569999999999993,2026-06-09
2027-03-01,4.569999999999993,2026-06-09
2027-04-01,4.564999999999998,2026-06-09
2027-05-01,4.549999999999997,2026-06-09
2027-06-01,4.539999999999992,2026-06-09
2027-07-01,4.519999999999996,2026-06-09
2027-08-01,4.4950000000000045,2026-06-09
2027-09-01,4.474999999999994,2026-06-09
2027-10-01,4.454999999999998,2026-06-09
2027-11-01,4.429999999999993,2026-06-09
