dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate,cash_rate_PreviousSettlement
2026-01-28,2026-01-14,2026-01-13,96.405,96.4,-0.0049999999999954525,-0.005186452984798975,-0.005,-0.005,96.4,97.105,96.4,96.4,96.405,4,4,919010878,IBF2026,2026-01-01,2026-01-13,2026-01-14T04:58:57Z,3.5999999999999943,3.594999999999999
2026-02-25,2026-01-14,2026-01-13,96.345,96.34,0.030000000000001137,0.03114779629341342,0.005,0.005,96.345,97.065,96.305,96.345,96.34,1414,1415,928464846,IBG2026,2026-02-01,2026-01-13,2026-01-14T04:58:57Z,3.655000000000001,3.6599999999999966
2026-03-29,2026-01-14,2026-01-13,96.33,96.32000000000001,0.03499999999999659,0.03634853048083559,0.005,0.005,96.325,97.105,96.29,96.325,96.32000000000001,316,317,935346173,IBH2026,2026-03-01,2026-01-13,2026-01-14T04:58:57Z,3.674999999999997,3.6799999999999926
2026-04-28,2026-01-13,2026-01-13,96.32000000000001,96.3,0.045000000000001705,0.046745961668313206,0.01,0.01,96.31,96.925,96.29,96.31,96.3,2,2,941648808,IBJ2026,2026-04-01,2026-01-13,2026-01-14T04:58:57Z,3.6899999999999977,3.700000000000003
2026-05-27,2026-01-13,2026-01-13,96.24000000000001,96.215,0.05500000000000682,0.05718741876787816,0.01,0.01,96.23,97.015,96.22,96.23,96.22,1,1,949242588,IBK2026,2026-05-01,2026-01-13,2026-01-14T04:58:57Z,3.769999999999996,3.780000000000001
2026-06-28,2025-12-19,2026-01-13,96.215,96.19,0.0350000000000108,0.03640334910812918,-0.02,-0.021,96.18,96.97500000000001,96.18,96.18,96.19500000000001,0,0,955528239,IBM2026,2026-06-01,2026-01-13,2026-01-14T04:58:57Z,3.8049999999999926,3.8049999999999926
2026-07-29,2025-12-09,2026-01-13,96.21000000000001,96.18,-0.04999999999999716,-0.05201560468140146,-0.04,-0.042,96.075,96.075,96.075,96.075,96.185,0,0,962344067,IBN2026,2026-07-01,2026-01-13,2026-01-14T04:58:57Z,3.8149999999999977,3.8149999999999977
2026-08-29,2025-12-09,2026-01-13,96.16,96.13,0.0049999999999954525,0.005205080158229703,-0.105,-0.109,96.065,96.15,96.065,96.065,96.14,0,0,969160575,IBQ2026,2026-08-01,2026-01-13,2026-01-14T04:58:57Z,3.8599999999999994,3.8599999999999994
2026-09-28,2026-01-12,2026-01-13,96.135,96.105,0.09999999999999432,0.10413954699296465,0.02,0.021,96.125,96.86500000000001,96.11500000000001,96.125,96.11,450,450,976225343,IBU2026,2026-09-01,2026-01-13,2026-01-14T04:58:57Z,3.8900000000000006,3.8900000000000006
2026-10-28,2025-12-16,2026-01-13,96.11500000000001,96.08500000000001,0.06999999999999318,0.0729090719716625,-0.035,-0.036000000000000004,96.08,96.86500000000001,96.08,96.08,96.105,0,0,983956682,IBV2026,2026-10-01,2026-01-13,2026-01-14T04:58:57Z,3.894999999999996,3.894999999999996
2026-11-28,2025-12-09,2026-01-13,96.09,96.06,0.045000000000001705,0.04688476765993093,-0.055,-0.057,96.025,96.86500000000001,96.025,96.025,96.08,0,0,990482019,IBX2026,2026-11-01,2026-01-13,2026-01-14T04:58:57Z,3.9200000000000017,3.9200000000000017
2026-12-29,2025-11-04,2026-01-13,96.07000000000001,96.04,0.5949999999999989,0.62001771479185,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.07000000000001,0,0,996839036,IBZ2026,2026-12-01,2026-01-13,2026-01-14T04:58:57Z,3.9299999999999926,3.9299999999999926
2027-01-27,NA,2026-01-13,96.065,96.035,NA,0,NA,NA,NA,NA,NA,NA,96.065,0,0,1004041830,IBF2027,2027-01-01,2026-01-13,2026-01-14T04:58:57Z,NA,3.9350000000000023
2027-02-24,NA,2026-01-13,96.055,96.025,NA,0,NA,NA,NA,NA,NA,NA,96.055,0,0,1010033436,IBG2027,2027-02-01,2026-01-13,2026-01-14T04:58:57Z,NA,3.944999999999993
2027-03-29,NA,2026-01-13,96.05,96.02,NA,0,NA,NA,NA,NA,NA,NA,96.05,0,0,1016946091,IBH2027,2027-03-01,2026-01-13,2026-01-14T04:58:57Z,NA,3.950000000000003
2027-04-28,NA,2026-01-13,96.045,96.015,NA,0,NA,NA,NA,NA,NA,NA,96.045,0,0,1026315950,IBJ2027,2027-04-01,2026-01-13,2026-01-14T04:58:57Z,NA,3.9549999999999983
2027-05-29,NA,2026-01-13,96.035,96.005,NA,0,NA,NA,NA,NA,NA,NA,96.04,0,0,1033478754,IBK2027,2027-05-01,2026-01-13,2026-01-14T04:58:57Z,NA,3.9599999999999937
2027-06-28,NA,2026-01-13,96.03,96,NA,0,NA,NA,NA,NA,NA,NA,96.035,0,0,1041047069,IBM2027,2027-06-01,2026-01-13,2026-01-14T04:58:57Z,NA,3.9650000000000034
