date,cash_rate,scrape_date
2025-05-01,4.0049999999999955,2025-05-16
2025-06-01,3.8499999999999943,2025-05-16
2025-07-01,3.7950000000000017,2025-05-16
2025-08-01,3.6499999999999915,2025-05-16
2025-09-01,3.569999999999993,2025-05-16
2025-10-01,3.4849999999999994,2025-05-16
2025-11-01,3.3700000000000045,2025-05-16
2025-12-01,3.325000000000003,2025-05-16
2026-01-01,3.3100000000000023,2025-05-16
2026-02-01,3.2650000000000006,2025-05-16
2026-03-01,3.2450000000000045,2025-05-16
2026-04-01,3.230000000000004,2025-05-16
2026-05-01,3.219999999999999,2025-05-16
2026-06-01,3.2150000000000034,2025-05-16
2026-07-01,3.2099999999999937,2025-05-16
2026-08-01,3.2099999999999937,2025-05-16
2026-09-01,3.2099999999999937,2025-05-16
2026-10-01,3.2150000000000034,2025-05-16
