date,cash_rate,scrape_date
2025-06-01,3.8349999999999937,2025-06-10
2025-07-01,3.6850000000000023,2025-06-10
2025-08-01,3.509999999999991,2025-06-10
2025-09-01,3.424999999999997,2025-06-10
2025-10-01,3.3349999999999937,2025-06-10
2025-11-01,3.1899999999999977,2025-06-10
2025-12-01,3.105000000000004,2025-06-10
2026-01-01,3.0799999999999983,2025-06-10
2026-02-01,3.009999999999991,2025-06-10
2026-03-01,2.989999999999995,2025-06-10
2026-04-01,2.969999999999999,2025-06-10
2026-05-01,2.9599999999999937,2025-06-10
2026-06-01,2.9599999999999937,2025-06-10
2026-07-01,2.9599999999999937,2025-06-10
2026-08-01,2.9650000000000034,2025-06-10
2026-09-01,2.969999999999999,2025-06-10
2026-10-01,2.9849999999999994,2025-06-10
2026-11-01,3,2025-06-10
