date,cash_rate,scrape_date
2026-07-01,4.349999999999994,2026-07-14
2026-08-01,4.384999999999991,2026-07-14
2026-09-01,4.409999999999997,2026-07-14
2026-10-01,4.444999999999993,2026-07-14
2026-11-01,4.5,2026-07-14
2026-12-01,4.5,2026-07-14
2027-01-01,4.5,2026-07-14
2027-02-01,4.4950000000000045,2026-07-14
2027-03-01,4.484999999999999,2026-07-14
2027-04-01,4.480000000000004,2026-07-14
2027-05-01,4.454999999999998,2026-07-14
2027-06-01,4.450000000000003,2026-07-14
2027-07-01,4.435000000000002,2026-07-14
2027-08-01,4.420000000000002,2026-07-14
2027-09-01,4.3999999999999915,2026-07-14
2027-10-01,4.3799999999999955,2026-07-14
2027-11-01,4.359999999999999,2026-07-14
2027-12-01,4.349999999999994,2026-07-14
