date,cash_rate,scrape_date
2023-08-01,4.064999999999998,2023-08-16
2023-09-01,4.079999999999998,2023-08-16
2023-10-01,4.1200000000000045,2023-08-16
2023-11-01,4.164999999999992,2023-08-16
2023-12-01,4.200000000000003,2023-08-16
2024-01-01,4.204999999999998,2023-08-16
2024-02-01,4.230000000000004,2023-08-16
2024-03-01,4.230000000000004,2023-08-16
2024-04-01,4.219999999999999,2023-08-16
2024-05-01,4.219999999999999,2023-08-16
2024-06-01,4.204999999999998,2023-08-16
2024-07-01,4.185000000000002,2023-08-16
2024-08-01,4.159999999999997,2023-08-16
2024-09-01,4.140000000000001,2023-08-16
2024-10-01,4.109999999999999,2023-08-16
2024-11-01,4.069999999999993,2023-08-16
2024-12-01,4.0249999999999915,2023-08-16
2025-01-01,4.009999999999991,2023-08-16
