dateExpiry,dateLastTrade,datePreviousSettlement,priceAsk,priceBid,priceChangeFiveDay,priceChangeFiveDayPercent,priceChangeOneDay,priceChangeOneDayPercent,priceContract,priceContractHigh,priceContractLow,priceLastTrade,pricePreviousSettlement,volume,combinedVolume,xid,symbol,date,scrape_date,scrape_time,cash_rate
2025-12-29,2025-12-09,2025-12-08,96.405,96.4,-0.009999999999990905,-0.01037236801160762,-0.005,-0.005,96.4,97.19,96.4,96.4,96.405,2953,2953,895208763,IBZ2025,2025-12-01,2025-12-08,2025-12-09T03:56:49Z,3.5999999999999943
2026-01-28,2025-12-09,2025-12-08,96.405,96.4,-0.0049999999999954525,-0.005186452984798975,-0.005,-0.005,96.4,97.105,96.395,96.4,96.405,1683,1683,919010878,IBF2026,2026-01-01,2025-12-08,2025-12-09T03:56:49Z,3.5999999999999943
2026-02-25,2025-12-09,2025-12-08,96.38,96.36500000000001,-0.024999999999991473,-0.02593092002903379,0.015,0.016,96.385,97.065,96.345,96.385,96.37,257,257,928464846,IBG2026,2026-02-01,2025-12-08,2025-12-09T03:56:49Z,3.614999999999995
2026-03-29,2025-12-08,2025-12-08,96.375,96.35000000000001,-0.05499999999999261,-0.05704802406388612,-0.01,-0.01,96.355,97.105,96.34,96.355,96.355,138,173,935346173,IBH2026,2026-03-01,2025-12-08,2025-12-09T03:56:49Z,3.644999999999996
2026-04-28,2025-12-08,2025-12-08,96.36,96.33500000000001,-0.060000000000002274,-0.06223743581764667,-0.015,-0.016,96.345,96.925,96.345,96.345,96.35000000000001,305,305,941648808,IBJ2026,2026-04-01,2025-12-08,2025-12-09T03:56:49Z,3.655000000000001
2026-05-27,2025-12-09,2025-12-08,96.305,96.28,-0.0899999999999892,-0.09338036937122765,-0.005,-0.005,96.29,97.015,96.29,96.29,96.295,16,26,949242588,IBK2026,2026-05-01,2025-12-08,2025-12-09T03:56:49Z,3.7099999999999937
2026-06-28,2025-12-09,2025-12-08,96.265,96.235,-0.125,-0.1297016861219196,-0.01,-0.01,96.25,96.97500000000001,96.26,96.25,96.26,16,26,955528239,IBM2026,2026-06-01,2025-12-08,2025-12-09T03:56:49Z,3.75
2026-07-29,NA,2025-12-08,96.23,96.2,NA,0,NA,NA,NA,NA,NA,NA,96.22500000000001,0,0,962344067,IBN2026,2026-07-01,2025-12-08,2025-12-09T03:56:49Z,NA
2026-08-29,2025-12-09,2025-12-08,96.175,96.145,-0.1799999999999926,-0.1868576767362116,-0.02,-0.021,96.15,NA,NA,96.15,96.17,100,100,969160575,IBQ2026,2026-08-01,2025-12-08,2025-12-09T03:56:49Z,3.8499999999999943
2026-09-28,2025-11-26,2025-12-08,96.135,96.105,0.07500000000000284,0.07786949073353355,-0.12,-0.124,96.39,96.86500000000001,96.39,96.39,96.135,0,0,976225343,IBU2026,2026-09-01,2025-12-08,2025-12-09T03:56:49Z,3.864999999999995
2026-10-28,2025-12-04,2025-12-08,96.105,96.075,-0.1599999999999966,-0.1661474558670785,-0.1,-0.10400000000000001,96.14,96.86500000000001,96.14,96.14,96.11500000000001,0,0,983956682,IBV2026,2026-10-01,2025-12-08,2025-12-09T03:56:49Z,3.884999999999991
2026-11-28,2025-12-04,2025-12-08,96.06,96.03,-0.15499999999998693,-0.16100550534952418,-0.095,-0.099,96.11500000000001,96.86500000000001,96.11500000000001,96.11500000000001,96.08,0,0,990482019,IBX2026,2026-11-01,2025-12-08,2025-12-09T03:56:49Z,3.9200000000000017
2026-12-29,2025-11-04,2025-12-08,96.045,96.015,0.3050000000000068,0.3168666562776031,0.005,0.005,96.56,96.86500000000001,96.56,96.56,96.065,0,0,996839036,IBZ2026,2026-12-01,2025-12-08,2025-12-09T03:56:49Z,3.9350000000000023
2027-01-27,NA,2025-12-08,96.04,96.01,NA,0,NA,NA,NA,NA,NA,NA,96.06,0,0,1004041830,IBF2027,2027-01-01,2025-12-08,2025-12-09T03:56:49Z,NA
2027-02-24,NA,2025-12-08,96.025,95.995,NA,0,NA,NA,NA,NA,NA,NA,96.045,0,0,1010033436,IBG2027,2027-02-01,2025-12-08,2025-12-09T03:56:49Z,NA
2027-03-29,NA,2025-12-08,96.01,95.98,NA,0,NA,NA,NA,NA,NA,NA,96.04,0,0,1016946091,IBH2027,2027-03-01,2025-12-08,2025-12-09T03:56:49Z,NA
2027-04-28,NA,2025-12-08,96,95.97,NA,0,NA,NA,NA,NA,NA,NA,96.03,0,0,1026315950,IBJ2027,2027-04-01,2025-12-08,2025-12-09T03:56:49Z,NA
2027-05-29,NA,2025-12-08,95.99000000000001,95.96000000000001,NA,0,NA,NA,NA,NA,NA,NA,96.02,0,0,1033478754,IBK2027,2027-05-01,2025-12-08,2025-12-09T03:56:49Z,NA
